Orthogroup	drosophila_melanogaster_filt	drosophila_persimilis_filt	drosophila_pseudoobscura_filt	drosophila_sechellia_filt	drosophila_simulans_filt	drosophila_subobscura_filt
OG0002099	lcl|NC_004354.4_cds_NP_727376.2_2297	lcl|NW_020825330.1_cds_XP_026846934.1_15248	lcl|NC_046683.1_cds_XP_033239342.1_16979	lcl|NC_045954.1_cds_XP_032580583.1_21337	lcl|NC_052525.2_cds_XP_016038721.1_23447	lcl|NC_048530.1_cds_XP_034668439.1_2228
OG0002104	lcl|NC_004354.4_cds_NP_001245598.1_2316	lcl|NW_020825330.1_cds_XP_026847000.1_15263	lcl|NC_046683.1_cds_XP_033240388.1_17000	lcl|NC_045954.1_cds_XP_032580801.1_21355	lcl|NC_052525.2_cds_XP_039153422.1_23463	lcl|NC_048530.1_cds_XP_034671408.1_2212
OG0002187	lcl|NC_004354.4_cds_NP_001096949.1_2628	lcl|NW_020825322.1_cds_XP_002023326.2_14122	lcl|NC_046683.1_cds_XP_002134028.2_19496	lcl|NC_045954.1_cds_XP_002041962.2_21557	lcl|NC_052525.2_cds_XP_016038891.1_23702	lcl|NC_048530.1_cds_XP_034658381.1_1597
OG0002238	lcl|NC_004354.4_cds_NP_727559.1_2786	lcl|NW_020825350.1_cds_XP_002025497.2_17332	lcl|NC_046683.1_cds_XP_001355329.3_20257	lcl|NC_045954.1_cds_XP_002044123.1_21684	lcl|NC_052525.2_cds_XP_002106718.3_23829	lcl|NC_048530.1_cds_XP_034672063.1_3785
OG0002262	lcl|NC_004354.4_cds_NP_511136.2_2881	lcl|NW_020825331.1_cds_XP_026847214.1_15487	lcl|NC_046683.1_cds_XP_033241441.1_18223	lcl|NC_045954.1_cds_XP_032581034.1_21747	lcl|NC_052525.2_cds_XP_016039062.1_23913	lcl|NC_048530.1_cds_XP_034649855.1_1956
OG0002271	lcl|NC_004354.4_cds_NP_001285150.1_2901	lcl|NW_020825312.1_cds_XP_026845436.1_13346	lcl|NC_046683.1_cds_XP_033238859.1_21657	lcl|NC_045954.1_cds_XP_002044531.2_21761	lcl|NC_052525.2_cds_XP_016039071.2_23928	lcl|NC_048530.1_cds_XP_034658591.1_3607
OG0002283	lcl|NC_004354.4_cds_NP_572803.1_2940	lcl|NW_020825312.1_cds_XP_002022116.1_13377	lcl|NC_046683.1_cds_XP_001355369.4_21618	lcl|NC_045954.1_cds_XP_002042822.1_21799	lcl|NC_052525.2_cds_XP_002106780.1_23966	lcl|NC_048530.1_cds_XP_034658160.1_3655
OG0002287	lcl|NC_004354.4_cds_NP_572807.1_2948	lcl|NW_020825312.1_cds_XP_026845253.1_13382	lcl|NC_046683.1_cds_XP_001355374.2_21604	lcl|NC_045954.1_cds_XP_002042828.1_21804	lcl|NC_052525.2_cds_XP_002076972.1_23972	lcl|NC_048530.1_cds_XP_034670983.1_3660
OG0002354	lcl|NC_004354.4_cds_NP_572894.1_3178	lcl|NW_020825322.1_cds_XP_002023371.1_14061	lcl|NC_046683.1_cds_XP_001354731.3_19411	lcl|NC_045954.1_cds_XP_002042690.1_21983	lcl|NC_052525.2_cds_XP_002106867.1_24156	lcl|NC_048530.1_cds_XP_034657822.1_1527
OG0002355	lcl|NC_004354.4_cds_NP_572895.1_3180	lcl|NW_020825322.1_cds_XP_002023370.1_14062	lcl|NC_046683.1_cds_XP_001354730.3_19412	lcl|NC_045954.1_cds_XP_002042691.1_21985	lcl|NC_052525.2_cds_XP_016039199.3_24158	lcl|NC_048530.1_cds_XP_034658289.1_1528
OG0002356	lcl|NC_004354.4_cds_NP_572896.1_3181	lcl|NW_020825322.1_cds_XP_002023368.1_14063	lcl|NC_046683.1_cds_XP_001354729.4_19413	lcl|NC_045954.1_cds_XP_002042692.1_21986	lcl|NC_052525.2_cds_XP_002106869.1_24159	lcl|NC_048530.1_cds_XP_034653461.1_1529
OG0002357	lcl|NC_004354.4_cds_NP_001259515.1_3182	lcl|NW_020825322.1_cds_XP_002023365.1_14066	lcl|NC_046683.1_cds_XP_001354728.4_19417	lcl|NC_045954.1_cds_XP_002042693.2_21987	lcl|NC_052525.2_cds_XP_039153238.1_24160	lcl|NC_048530.1_cds_XP_034660588.1_1530
OG0002402	lcl|NC_004354.4_cds_NP_572945.1_3355	lcl|NW_020825324.1_cds_XP_002022542.2_14541	lcl|NC_046683.1_cds_XP_002134235.3_18750	lcl|NC_045954.1_cds_XP_002042770.1_22116	lcl|NC_052525.2_cds_XP_016039281.1_24315	lcl|NC_048530.1_cds_XP_034661637.1_707
OG0002462	lcl|NC_004354.4_cds_NP_001096984.1_3533	lcl|NW_020825350.1_cds_XP_026848422.1_17381	lcl|NC_046683.1_cds_XP_002133456.2_20321	lcl|NC_045954.1_cds_XP_032581399.1_22267	lcl|NC_052525.2_cds_XP_016039366.1_24471	lcl|NC_048530.1_cds_XP_034672132.1_3597
OG0002527	lcl|NC_004354.4_cds_NP_573090.3_3813	lcl|NW_020825313.1_cds_XP_026845798.1_13468	lcl|NC_046683.1_cds_XP_033239991.1_20697	lcl|NC_045954.1_cds_XP_002044219.2_22467	lcl|NC_052525.2_cds_XP_016039532.1_24689	lcl|NC_048530.1_cds_XP_034650653.1_1184
OG0002528	lcl|NC_004354.4_cds_NP_996469.1_3815	lcl|NW_020825313.1_cds_XP_026845782.1_13456	lcl|NC_046683.1_cds_XP_033239056.1_20725	lcl|NC_045954.1_cds_XP_032580911.1_22468	lcl|NC_052525.2_cds_XP_002077031.1_24690	lcl|NC_048530.1_cds_XP_034669040.1_1203
OG0002614	lcl|NC_004354.4_cds_NP_728016.1_4162	lcl|NW_020825359.1_cds_XP_026849168.1_18517	lcl|NC_046683.1_cds_XP_001355595.2_17418	lcl|NC_045954.1_cds_XP_002042294.1_22713	lcl|NC_052525.2_cds_XP_002107151.1_24961	lcl|NC_048530.1_cds_XP_034671340.1_2086
OG0002615	lcl|NC_004354.4_cds_NP_728017.1_4163	lcl|NW_020825359.1_cds_XP_026849167.1_18518	lcl|NC_046683.1_cds_XP_033241078.1_17419	lcl|NC_045954.1_cds_XP_002042295.1_22714	lcl|NC_052525.2_cds_XP_039153464.1_24962	lcl|NC_048530.1_cds_XP_034671347.1_2085
OG0002616	lcl|NC_004354.4_cds_NP_728018.2_4164	lcl|NW_020825359.1_cds_XP_002025094.1_18519	lcl|NC_046683.1_cds_XP_002133723.2_17420	lcl|NC_045954.1_cds_XP_002044990.1_22715	lcl|NC_052525.2_cds_XP_016039705.1_24963	lcl|NC_048530.1_cds_XP_034671348.1_2084
OG0002617	lcl|NC_004354.4_cds_NP_728020.1_4167	lcl|NW_020825359.1_cds_XP_026849166.1_18520	lcl|NC_046683.1_cds_XP_033241077.1_17421	lcl|NC_045954.1_cds_XP_002044992.2_22718	lcl|NC_052525.2_cds_XP_039153463.1_24965	lcl|NC_048530.1_cds_XP_034671352.1_2083
OG0002638	lcl|NC_004354.4_cds_NP_573178.1_4212	lcl|NW_020825317.1_cds_XP_026845986.1_13575	lcl|NC_046683.1_cds_XP_001354333.3_21045	lcl|NC_045954.1_cds_XP_002042318.1_22750	lcl|NC_052525.2_cds_XP_002107178.3_24997	lcl|NC_048530.1_cds_XP_034671353.1_2103
OG0002709	lcl|NC_004354.4_cds_NP_573259.2_4459	lcl|NW_020825346.1_cds_XP_026848297.1_17087	lcl|NC_046683.1_cds_XP_002134129.2_19125	lcl|NC_045954.1_cds_XP_032581524.1_22936	lcl|NC_052525.2_cds_XP_002107276.1_25195	lcl|NC_048530.1_cds_XP_034654903.1_3436
OG0002730	lcl|NC_004354.4_cds_NP_523401.2_4566	lcl|NW_020825330.1_cds_XP_002026823.1_15145	lcl|NC_046683.1_cds_XP_002134503.3_16834	lcl|NC_045954.1_cds_XP_002039274.1_23009	lcl|NC_052525.2_cds_XP_016039917.1_25284	lcl|NC_048530.1_cds_XP_034668172.1_1106
OG0002764	lcl|NC_004354.4_cds_NP_523407.1_4658	lcl|NW_020825331.1_cds_XP_026847123.1_15584	lcl|NC_046683.1_cds_XP_001355114.3_18053	lcl|NC_045954.1_cds_XP_032580537.1_23086	lcl|NC_052525.2_cds_XP_039153676.1_25356	lcl|NC_048530.1_cds_XP_034661002.1_1636
OG0002786	lcl|NC_004354.4_cds_NP_573364.1_4725	lcl|NW_020825324.1_cds_XP_026846511.1_14370	lcl|NC_046683.1_cds_XP_001355004.3_18479	lcl|NC_045954.1_cds_XP_032581372.1_23144	lcl|NC_052525.2_cds_XP_016039989.1_25416	lcl|NC_048530.1_cds_XP_034664240.1_1813
OG0002787	lcl|NC_004354.4_cds_NP_573365.1_4726	lcl|NW_020825324.1_cds_XP_002022397.2_14369	lcl|NC_046683.1_cds_XP_033240214.1_18475	lcl|NC_045954.1_cds_XP_002039384.1_23145	lcl|NC_052525.2_cds_XP_002107385.1_25417	lcl|NC_048530.1_cds_XP_034664322.1_1814
OG0002858	lcl|NC_004354.4_cds_NP_608378.2_5043	lcl|NW_020825324.1_cds_XP_002022528.1_14515	lcl|NC_046683.1_cds_XP_001354939.2_18711	lcl|NC_045954.1_cds_XP_032582455.1_23339	lcl|NC_052525.2_cds_XP_016040148.1_25633	lcl|NC_048530.1_cds_XP_034670980.1_3331
OG0002859	lcl|NC_004354.4_cds_NP_523418.1_5045	lcl|NW_020825324.1_cds_XP_002022529.2_14516	lcl|NC_046683.1_cds_XP_001354938.1_18712	lcl|NC_045954.1_cds_XP_002039516.1_23341	lcl|NC_052525.2_cds_XP_016040149.1_25635	lcl|NC_048530.1_cds_XP_034670981.1_3330
OG0002870	lcl|NC_004354.4_cds_NP_728338.2_5067	lcl|NW_020825359.1_cds_XP_002025050.1_18467	lcl|NC_046683.1_cds_XP_001355623.3_17358	lcl|NC_045954.1_cds_XP_002039540.1_23364	lcl|NC_052525.2_cds_XP_016040162.1_25661	lcl|NC_048530.1_cds_XP_034670082.1_3312
OG0002871	lcl|NC_004354.4_cds_NP_608391.2_5068	lcl|NW_020825359.1_cds_XP_002025051.1_18468	lcl|NC_046683.1_cds_XP_001355622.3_17359	lcl|NC_045954.1_cds_XP_002039541.2_23365	lcl|NC_052525.2_cds_XP_016040163.2_25662	lcl|NC_048530.1_cds_XP_034670059.1_3311
OG0002872	lcl|NC_004354.4_cds_NP_608392.1_5069	lcl|NW_020825359.1_cds_XP_002025052.1_18469	lcl|NC_046683.1_cds_XP_001355621.3_17360	lcl|NC_045954.1_cds_XP_002039542.1_23366	lcl|NC_052525.2_cds_XP_002107477.1_25663	lcl|NC_048530.1_cds_XP_034670047.1_3310
OG0002873	lcl|NC_004354.4_cds_NP_523421.2_5071	lcl|NW_020825359.1_cds_XP_002025053.1_18470	lcl|NC_046683.1_cds_XP_001355620.2_17361	lcl|NC_045954.1_cds_XP_002039543.1_23367	lcl|NC_052525.2_cds_XP_002107478.1_25664	lcl|NC_048530.1_cds_XP_034670071.1_3309
OG0002931	lcl|NC_004354.4_cds_NP_728468.1_5350	lcl|NW_020825330.1_cds_XP_026847048.1_15354	lcl|NC_046683.1_cds_XP_033238943.1_17138	lcl|NC_045954.1_cds_XP_002044556.1_23664	lcl|NC_052525.2_cds_XP_016040360.1_25941	lcl|NC_048530.1_cds_XP_034663305.1_3527
OG0002962	lcl|NT_033779.5_cds_NP_722607.1_5480	lcl|NW_020825298.1_cds_XP_002020947.2_10349	lcl|NC_046681.1_cds_XP_001357103.3_16357	lcl|NC_045949.1_cds_XP_002041531.1_49	lcl|NC_052520.2_cds_XP_044778272.1_58	lcl|NC_048534.1_cds_XP_034667037.1_21831
OG0003001	lcl|NT_033779.5_cds_NP_787957.1_5588	lcl|NW_020825298.1_cds_XP_026844573.1_11777	lcl|NC_046681.1_cds_XP_015035818.2_14557	lcl|NC_045949.1_cds_XP_002041583.2_130	lcl|NC_052520.2_cds_XP_016022918.1_144	lcl|NC_048534.1_cds_XP_034669777.1_21242
OG0003009	lcl|NT_033779.5_cds_NP_525098.1_5613	lcl|NW_020825298.1_cds_XP_026844327.1_11795	lcl|NC_046681.1_cds_XP_015035812.2_14541	lcl|NC_045949.1_cds_XP_002041593.1_145	lcl|NC_052520.2_cds_XP_016022931.1_161	lcl|NC_048534.1_cds_XP_034668825.1_21228
OG0003023	lcl|NT_033779.5_cds_NP_523447.2_5650	lcl|NW_020825298.1_cds_XP_026844638.1_10758	lcl|NC_046681.1_cds_XP_001356956.4_15846	lcl|NC_045949.1_cds_XP_002041617.1_166	lcl|NC_052520.2_cds_XP_016022944.1_188	lcl|NC_048534.1_cds_XP_034666872.1_21206
OG0003045	lcl|NT_033779.5_cds_NP_608557.4_5710	lcl|NW_020825298.1_cds_XP_002020926.1_10378	lcl|NC_046681.1_cds_XP_001357118.2_16320	lcl|NC_045949.1_cds_XP_002041645.2_205	lcl|NC_052520.2_cds_XP_002077694.2_228	lcl|NC_048534.1_cds_XP_034668368.1_21929
OG0003076	lcl|NT_033779.5_cds_NP_476998.1_5782	lcl|NW_020825298.1_cds_XP_026843984.1_10639	lcl|NC_046681.1_cds_XP_001357023.4_15987	lcl|NC_045949.1_cds_XP_002041692.1_260	lcl|NC_052520.2_cds_XP_002077742.1_289	lcl|NC_048534.1_cds_XP_034667248.1_20961
OG0003077	lcl|NT_033779.5_cds_NP_722702.1_5795	lcl|NW_020825298.1_cds_XP_002020702.2_10631	lcl|NC_046681.1_cds_XP_001357024.4_15995	lcl|NC_045949.1_cds_XP_032583097.1_271	lcl|NC_052520.2_cds_XP_002077750.1_299	lcl|NC_048534.1_cds_XP_034667679.1_20956
OG0003078	lcl|NT_033779.5_cds_NP_001259867.1_5797	lcl|NW_020825298.1_cds_XP_002020703.1_10630	lcl|NC_046681.1_cds_XP_002132893.3_15996	lcl|NC_045949.1_cds_XP_002041700.1_272	lcl|NC_052520.2_cds_XP_002077751.3_300	lcl|NC_048534.1_cds_XP_034667678.1_20955
OG0003119	lcl|NT_033779.5_cds_NP_608637.1_5916	lcl|NW_020825298.1_cds_XP_002015372.1_10780	lcl|NC_046681.1_cds_XP_001356946.1_15819	lcl|NC_045949.1_cds_XP_002041755.2_350	lcl|NC_052520.2_cds_XP_002077806.1_391	lcl|NC_048534.1_cds_XP_034667944.1_21669
OG0003124	lcl|NT_033779.5_cds_NP_652638.2_5930	lcl|NW_020825298.1_cds_XP_002015379.1_10771	lcl|NC_046681.1_cds_XP_001356950.3_15830	lcl|NC_045949.1_cds_XP_032583119.1_359	lcl|NC_052520.2_cds_XP_002077812.2_401	lcl|NC_048534.1_cds_XP_034670106.1_21679
OG0003156	lcl|NT_033779.5_cds_NP_001259924.2_6023	lcl|NW_020825298.1_cds_XP_026844175.1_11400	lcl|NC_046681.1_cds_XP_001356624.4_15070	lcl|NC_045949.1_cds_XP_002037567.2_431	lcl|NC_052520.2_cds_XP_016023125.1_478	lcl|NC_048534.1_cds_XP_034670265.1_21175
OG0003213	lcl|NT_033779.5_cds_NP_608718.1_6169	lcl|NW_020825294.1_cds_XP_002028357.1_9968	lcl|NC_046681.1_cds_XP_001356162.2_12032	lcl|NC_045949.1_cds_XP_032583335.1_536	lcl|NC_052520.2_cds_XP_002077946.1_587	lcl|NC_048534.1_cds_XP_034667318.1_19581
OG0003275	lcl|NT_033779.5_cds_NP_608781.2_6349	lcl|NW_020825298.1_cds_XP_026844046.1_11833	lcl|NC_046681.1_cds_XP_015035800.2_14496	lcl|NC_045949.1_cds_XP_002045314.1_670	lcl|NC_052520.2_cds_XP_002078032.1_732	lcl|NC_048534.1_cds_XP_034666694.1_21093
OG0003310	lcl|NT_033779.5_cds_NP_001245864.1_6464	lcl|NW_020825298.1_cds_XP_002014953.2_11291	lcl|NC_046681.1_cds_XP_001356673.4_15192	lcl|NC_045949.1_cds_XP_002037766.2_753	lcl|NC_052520.2_cds_XP_016023365.1_812	lcl|NC_048534.1_cds_XP_034669623.1_21991
OG0003324	lcl|NT_033779.5_cds_NP_477497.1_6517	lcl|NW_020825298.1_cds_XP_026844382.1_10356	lcl|NC_046681.1_cds_XP_001357109.4_16343	lcl|NC_045949.1_cds_XP_002037796.2_797	lcl|NC_052520.2_cds_XP_039147181.1_867	lcl|NC_048534.1_cds_XP_034665997.1_21945
OG0003368	lcl|NT_033779.5_cds_NP_001260049.1_6643	lcl|NW_020825298.1_cds_XP_026844397.1_11495	lcl|NC_046681.1_cds_XP_001356575.4_14946	lcl|NC_045949.1_cds_XP_002037857.2_892	lcl|NC_052520.2_cds_XP_016023465.1_973	lcl|NC_048534.1_cds_XP_034669677.1_21725
OG0003456	lcl|NT_033779.5_cds_NP_523484.2_6919	lcl|NW_020825294.1_cds_XP_002021695.1_9803	lcl|NC_046681.1_cds_XP_001356082.2_12243	lcl|NC_045949.1_cds_XP_032578056.1_1076	lcl|NC_052520.2_cds_XP_002078251.1_1202	lcl|NC_048534.1_cds_XP_034668881.1_18743
OG0003457	lcl|NT_033779.5_cds_NP_523485.3_6920	lcl|NW_020825294.1_cds_XP_002021694.1_9802	lcl|NC_046681.1_cds_XP_001356081.3_12244	lcl|NC_045949.1_cds_XP_002037971.2_1077	lcl|NC_052520.2_cds_XP_002078252.1_1203	lcl|NC_048534.1_cds_XP_034668880.1_18742
OG0003469	lcl|NT_033779.5_cds_NP_723116.1_6958	lcl|NW_020825298.1_cds_XP_002014282.1_12184	lcl|NC_046681.1_cds_XP_001357226.3_13988	lcl|NC_045949.1_cds_XP_032583249.1_1109	lcl|NC_052520.2_cds_XP_002078272.1_1233	lcl|NC_048534.1_cds_XP_034669178.1_18715
OG0003478	lcl|NT_033779.5_cds_NP_608967.1_6992	lcl|NW_020825298.1_cds_XP_026844123.1_12206	lcl|NC_046681.1_cds_XP_001357215.3_13955	lcl|NC_045949.1_cds_XP_002038005.1_1134	lcl|NC_052520.2_cds_XP_002078285.1_1258	lcl|NC_048534.1_cds_XP_034670064.1_18693
OG0003514	lcl|NT_033779.5_cds_NP_652552.1_7120	lcl|NW_020825298.1_cds_XP_026844128.1_12285	lcl|NC_046681.1_cds_XP_002132202.3_13857	lcl|NC_045949.1_cds_XP_002038066.2_1215	lcl|NC_052520.2_cds_XP_039152453.1_1345	lcl|NC_048534.1_cds_XP_034666759.1_18605
OG0003515	lcl|NT_033779.5_cds_NP_723165.2_7124	lcl|NW_020825298.1_cds_XP_026844826.1_12287	lcl|NC_046681.1_cds_XP_001355875.4_13855	lcl|NC_045949.1_cds_XP_032577533.1_1218	lcl|NC_052520.2_cds_XP_039148020.1_1347	lcl|NC_048534.1_cds_XP_034669554.1_18601
OG0003518	lcl|NT_033779.5_cds_NP_001285666.1_7131	lcl|NW_020825298.1_cds_XP_026844825.1_12294	lcl|NC_046681.1_cds_XP_002133360.3_13843	lcl|NC_045949.1_cds_XP_032573826.1_1223	lcl|NC_052520.2_cds_XP_016023734.1_1352	lcl|NC_048534.1_cds_XP_034669553.1_18590
OG0003607	lcl|NT_033779.5_cds_NP_476673.1_7386	lcl|NW_020825294.1_cds_XP_002018763.1_9169	lcl|NC_046681.1_cds_XP_033235281.1_13102	lcl|NC_045949.1_cds_XP_032569994.1_1412	lcl|NC_052520.2_cds_XP_002078463.1_1552	lcl|NC_048534.1_cds_XP_034666250.1_19628
