	OG	Dmel_gene	dS	dN	Omega	FN	FP	Branches	drosophila_melanogaster_filt	drosophila_persimilis_filt	drosophila_pseudoobscura_filt	drosophila_sechellia_filt	drosophila_simulans_filt	drosophila_subobscura_filt	Dmel_feature_name	Dmel_locus_tag	Dmel_ref_flybase
10	OG0001918	Ir7b 	3.9572370922561313	1.276867316452784	0.3506447053861933	0.3739255014326647	0.0042979942693409	['Drosophila_persimilis', 'Drosophila_pseudoobscura']	lcl|NC_004354.4_cds_NP_572410.2_1763	lcl|NW_020825356.1_cds_XP_002022742.2_18052	lcl|NC_046683.1_cds_XP_001355211.3_17876	lcl|NC_045954.1_cds_XP_032582604.1_20948	lcl|NC_052525.2_cds_XP_016038442.1_23005	lcl|NC_048530.1_cds_XP_034671023.1_3115	lcl|NC_004354.4_cds_NP_572410.2_1763	locus_tag=Dmel_CG15326 	db_xref=FLYBASE:FBpp0307900,GeneID:31690 
11	OG0001920	Ir7c 	4.1169100688982345	0.6453218090986689	0.2551469886226592	0.4512	0.0016	[]	lcl|NC_004354.4_cds_NP_572411.1_1770	lcl|NW_020825356.1_cds_XP_002022746.1_18055	lcl|NC_046683.1_cds_XP_015042164.2_17868	lcl|NC_045954.1_cds_XP_032581121.1_20951	lcl|NC_052525.2_cds_XP_016038445.1_23009	lcl|NC_048530.1_cds_XP_034672140.1_3110	lcl|NC_004354.4_cds_NP_572411.1_1770	locus_tag=Dmel_CG15324 	db_xref=FLYBASE:FBpp0071043,GeneID:31692 
12	OG0001921	Ir7d 	3.9042610032130254	0.7687582320047908	0.3314720856331462	0.3224755700325732	0.0	[]	lcl|NC_004354.4_cds_NP_001138175.1_1772	lcl|NW_020825356.1_cds_XP_026848943.1_18056	lcl|NC_046683.1_cds_XP_001355210.4_17867	lcl|NC_045954.1_cds_XP_002044452.1_20953	lcl|NC_052525.2_cds_XP_002106410.3_23011	lcl|NC_048530.1_cds_XP_034672142.1_3107	lcl|NC_004354.4_cds_NP_001138175.1_1772	locus_tag=Dmel_CG42294 	db_xref=FLYBASE:FBpp0288952,GeneID:7354416 
13	OG0001922	Ir7e 	5.560205733436876	0.6401835176412448	0.2075744543465912	0.4397394136807817	0.0	[]	lcl|NC_004354.4_cds_NP_001138176.1_1773	lcl|NW_020825356.1_cds_XP_026848935.1_18057	lcl|NC_046683.1_cds_XP_015042163.2_17866	lcl|NC_045954.1_cds_XP_032581772.1_20954	lcl|NC_052525.2_cds_XP_016038449.1_23012	lcl|NC_048530.1_cds_XP_034672147.1_3105	lcl|NC_004354.4_cds_NP_001138176.1_1773	locus_tag=Dmel_CG42293 	db_xref=FLYBASE:FBpp0288951,GeneID:7354417 
14	OG0001923	Ir7f 	3.7946228493841896	1.0712427075006878	0.3522083275125877	0.3166926677067083	0.0015600624024961	['Drosophila_sechellia']	lcl|NC_004354.4_cds_NP_001138177.1_1774	lcl|NW_020825356.1_cds_XP_026848944.1_18058	lcl|NC_046683.1_cds_XP_033238157.1_17865	lcl|NC_045954.1_cds_XP_032580961.1_20955	lcl|NC_052525.2_cds_XP_016038450.1_23013	lcl|NC_048530.1_cds_XP_034671022.1_3104	lcl|NC_004354.4_cds_NP_001138177.1_1774	locus_tag=Dmel_CG42292 	db_xref=FLYBASE:FBpp0288950,GeneID:7354418 
15	OG0001924	Ir7g 	5.86042711850787	0.7018945094039938	0.1792677630479563	0.4173486088379705	0.0	['Drosophila_melanogaster']	lcl|NC_004354.4_cds_NP_001368933.1_1775	lcl|NW_020825356.1_cds_XP_026848946.1_18060	lcl|NC_046683.1_cds_XP_033237427.1_17862	lcl|NC_045954.1_cds_XP_032580963.1_20957	lcl|NC_052525.2_cds_XP_016038451.1_23014	lcl|NC_048530.1_cds_XP_034672148.1_3103	lcl|NC_004354.4_cds_NP_001368933.1_1775	locus_tag=Dmel_CG15325 	db_xref=FLYBASE:FBpp0428088,GeneID:31694 
16	OG0001942	Tbh 	7.082137405045891	0.619787010269829	0.1469629103974381	0.4517087667161961	0.0014858841010401	[]	lcl|NC_004354.4_cds_NP_788884.1_1821	lcl|NW_020825350.1_cds_XP_026848400.1_17307	lcl|NC_046683.1_cds_XP_015041029.2_20221	lcl|NC_045954.1_cds_XP_032581726.1_20990	lcl|NC_052525.2_cds_XP_016038481.1_23043	lcl|NC_048530.1_cds_XP_034671793.1_3040	lcl|NC_004354.4_cds_NP_788884.1_1821	locus_tag=Dmel_CG1543 	db_xref=FLYBASE:FBpp0089042,GeneID:31718 
17	OG0001976	nAChRalpha3 	8.27439377416678	0.5774854207931117	0.1121741702246641	0.3657407407407407	0.0	[]	lcl|NC_004354.4_cds_NP_525079.3_1917	lcl|NW_020825322.1_cds_XP_026846352.1_14320	lcl|NC_046683.1_cds_XP_002133954.2_19712	lcl|NC_045954.1_cds_XP_032582718.1_21066	lcl|NC_052525.2_cds_XP_039152649.1_23130	lcl|NC_048530.1_cds_XP_034649912.1_395	lcl|NC_004354.4_cds_NP_525079.3_1917	locus_tag=Dmel_CG2302 	db_xref=FLYBASE:FBpp0288426,GeneID:31767 
18	OG0001997	CG12111 	7.891677214580054	0.786057140230196	0.2384981521363156	0.2525252525252525	0.0	[]	lcl|NC_004354.4_cds_NP_572491.1_1994	lcl|NW_020825361.1_cds_XP_002022647.1_18673	lcl|NC_046683.1_cds_XP_001355129.2_18003	lcl|NC_045954.1_cds_XP_032581369.1_21113	lcl|NC_052525.2_cds_XP_002076916.1_23198	lcl|NC_048530.1_cds_XP_034671468.1_676	lcl|NC_004354.4_cds_NP_572491.1_1994	locus_tag=Dmel_CG12111 	db_xref=FLYBASE:FBpp0071176,GeneID:31796 
19	OG0002020	CG12662 	6.717232775278068	0.6835790666701159	0.232276925914641	0.3532338308457711	0.0049751243781094	[]	lcl|NC_004354.4_cds_NP_001356935.1_2078	lcl|NW_020825324.1_cds_XP_026846418.1_14403	lcl|NC_046683.1_cds_XP_001354991.4_18539	lcl|NC_045954.1_cds_XP_002043959.2_21224	lcl|NC_052525.2_cds_XP_044779559.1_23257	lcl|NC_048530.1_cds_XP_034658545.1_1765	lcl|NC_004354.4_cds_NP_001356935.1_2078	locus_tag=Dmel_CG12662 	db_xref=FLYBASE:FBpp0423043,GeneID:31825 
20	OG0002048	Obp8a 	4.9367947226905695	0.9920587496483452	0.371618618029233	0.1657142857142857	0.0	[]	lcl|NC_004354.4_cds_NP_727322.1_2165	lcl|NW_020825359.1_cds_XP_002025041.1_18459	lcl|NC_046683.1_cds_XP_001355631.3_17349	lcl|NC_045954.1_cds_XP_002045336.1_21241	lcl|NC_052525.2_cds_XP_002106531.1_23337	lcl|NC_048530.1_cds_XP_034661647.1_692	lcl|NC_004354.4_cds_NP_727322.1_2165	locus_tag=Dmel_CG12665 	db_xref=FLYBASE:FBpp0071242,GeneID:31860 
21	OG0002053	Ir8a 	5.25964638708296	1.1076574635977512	0.2557571651256101	0.2494279176201373	0.0005720823798627	[]	lcl|NC_004354.4_cds_NP_727328.1_2174	lcl|NW_020825354.1_cds_XP_002025742.2_17736	lcl|NC_046683.1_cds_XP_002133910.2_19857	lcl|NC_045954.1_cds_XP_002044650.1_21248	lcl|NC_052525.2_cds_XP_044779487.1_23344	lcl|NC_048530.1_cds_XP_034670345.1_635	lcl|NC_004354.4_cds_NP_727328.1_2174	locus_tag=Dmel_CG32704 	db_xref=FLYBASE:FBpp0071268,GeneID:31867 
22	OG0002071	CG34028 	4.22212857286032	0.9932666774047656	0.4755241700785944	0.1534391534391534	0.0052910052910052	[]	lcl|NC_004354.4_cds_NP_001033838.1_2221	lcl|NW_020825324.1_cds_XP_002022617.2_14623	lcl|NC_046683.1_cds_XP_002133769.2_17258	lcl|NC_045954.1_cds_XP_002041777.2_21288	lcl|NC_052525.2_cds_XP_016038683.1_23388	lcl|NC_048530.1_cds_XP_034672183.1_443	lcl|NC_004354.4_cds_NP_001033838.1_2221	locus_tag=Dmel_CG34028 	db_xref=FLYBASE:FBpp0099439,GeneID:3885648 
23	OG0002092	CG9686 	7.396194192953127	0.8939537978207797	0.2554930449068676	0.1939393939393939	0.0	['Drosophila_subobscura']	lcl|NC_004354.4_cds_NP_572586.2_2282	lcl|NW_020825330.1_cds_XP_002023051.1_15237	lcl|NC_046683.1_cds_XP_001354403.1_16968	lcl|NC_045954.1_cds_XP_002041812.1_21328	lcl|NC_052525.2_cds_XP_002077360.1_23437	lcl|NC_048530.1_cds_XP_034661855.1_2237	lcl|NC_004354.4_cds_NP_572586.2_2282	locus_tag=Dmel_CG9686 	db_xref=FLYBASE:FBpp0071324,GeneID:31921 
24	OG0002098	CG1791 	5.01048953640455	0.9623634627678694	0.3022190506295442	0.3468208092485549	0.0028901734104046	[]	lcl|NC_004354.4_cds_NP_572591.1_2295	lcl|NW_020825330.1_cds_XP_026846977.1_15247	lcl|NC_046683.1_cds_XP_001354409.3_16978	lcl|NC_045954.1_cds_XP_002044839.1_21336	lcl|NC_052525.2_cds_XP_016038720.1_23446	lcl|NC_048530.1_cds_XP_034649898.1_2229	lcl|NC_004354.4_cds_NP_572591.1_2295	locus_tag=Dmel_CG1791 	db_xref=FLYBASE:FBpp0071364,GeneID:31927 
25	OG0002099	CG1889 	4.246343588048358	0.8532945855514985	0.3118478600079378	0.3907103825136612	0.0027322404371584	[]	lcl|NC_004354.4_cds_NP_727376.2_2297	lcl|NW_020825330.1_cds_XP_026846934.1_15248	lcl|NC_046683.1_cds_XP_033239342.1_16979	lcl|NC_045954.1_cds_XP_032580583.1_21337	lcl|NC_052525.2_cds_XP_016038721.1_23447	lcl|NC_048530.1_cds_XP_034668439.1_2228	lcl|NC_004354.4_cds_NP_727376.2_2297	locus_tag=Dmel_CG1889 	db_xref=FLYBASE:FBpp0307845,GeneID:31928 
26	OG0002104	Cht6 	2.7410809203881508	0.8391205872185602	0.3185503122182503	0.2911764705882353	0.0	['Node6', 'Drosophila_pseudoobscura', 'Drosophila_subobscura']	lcl|NC_004354.4_cds_NP_001245598.1_2316	lcl|NW_020825330.1_cds_XP_026847000.1_15263	lcl|NC_046683.1_cds_XP_033240388.1_17000	lcl|NC_045954.1_cds_XP_032580801.1_21355	lcl|NC_052525.2_cds_XP_039153422.1_23463	lcl|NC_048530.1_cds_XP_034671408.1_2212	lcl|NC_004354.4_cds_NP_001245598.1_2316	locus_tag=Dmel_CG43374 	db_xref=FLYBASE:FBpp0298358,GeneID:31935 
27	OG0002187	Ir10a 	4.565801980816959	0.8364092197625868	0.2689465894246747	0.3801775147928994	0.0	['Drosophila_melanogaster']	lcl|NC_004354.4_cds_NP_001096949.1_2628	lcl|NW_020825322.1_cds_XP_002023326.2_14122	lcl|NC_046683.1_cds_XP_002134028.2_19496	lcl|NC_045954.1_cds_XP_002041962.2_21557	lcl|NC_052525.2_cds_XP_016038891.1_23702	lcl|NC_048530.1_cds_XP_034658381.1_1597	lcl|NC_004354.4_cds_NP_001096949.1_2628	locus_tag=Dmel_CG34143 	db_xref=FLYBASE:FBpp0112397,GeneID:32067 
28	OG0002238	Karl 	5.896409830199687	1.356950610462396	0.3814693233548241	0.1901639344262295	0.0	[]	lcl|NC_004354.4_cds_NP_727559.1_2786	lcl|NW_020825350.1_cds_XP_002025497.2_17332	lcl|NC_046683.1_cds_XP_001355329.3_20257	lcl|NC_045954.1_cds_XP_002044123.1_21684	lcl|NC_052525.2_cds_XP_002106718.3_23829	lcl|NC_048530.1_cds_XP_034672063.1_3785	lcl|NC_004354.4_cds_NP_727559.1_2786	locus_tag=Dmel_CG4139 	db_xref=FLYBASE:FBpp0073401,GeneID:32131 
29	OG0002262	fw 	5.742181501839461	0.4849832474036767	0.1267454372195489	0.437201907790143	0.0	[]	lcl|NC_004354.4_cds_NP_511136.2_2881	lcl|NW_020825331.1_cds_XP_026847214.1_15487	lcl|NC_046683.1_cds_XP_033241441.1_18223	lcl|NC_045954.1_cds_XP_032581034.1_21747	lcl|NC_052525.2_cds_XP_016039062.1_23913	lcl|NC_048530.1_cds_XP_034649855.1_1956	lcl|NC_004354.4_cds_NP_511136.2_2881	locus_tag=Dmel_CG1500 	db_xref=FLYBASE:FBpp0073424,GeneID:32162 
30	OG0002271	Muc11A 	2.6993723476034748	0.8654235985883529	0.4105671511819836	0.2195945945945946	0.0	['Node6', 'Node7', 'Drosophila_melanogaster', 'Drosophila_persimilis']	lcl|NC_004354.4_cds_NP_001285150.1_2901	lcl|NW_020825312.1_cds_XP_026845436.1_13346	lcl|NC_046683.1_cds_XP_033238859.1_21657	lcl|NC_045954.1_cds_XP_002044531.2_21761	lcl|NC_052525.2_cds_XP_016039071.2_23928	lcl|NC_048530.1_cds_XP_034658591.1_3607	lcl|NC_004354.4_cds_NP_001285150.1_2901	locus_tag=Dmel_CG32656 	db_xref=FLYBASE:FBpp0309609,GeneID:32174 
31	OG0002283	Cpr11A 	5.848350324352586	1.037109434289278	0.2850594202697418	0.25	0.0	['Drosophila_persimilis']	lcl|NC_004354.4_cds_NP_572803.1_2940	lcl|NW_020825312.1_cds_XP_002022116.1_13377	lcl|NC_046683.1_cds_XP_001355369.4_21618	lcl|NC_045954.1_cds_XP_002042822.1_21799	lcl|NC_052525.2_cds_XP_002106780.1_23966	lcl|NC_048530.1_cds_XP_034658160.1_3655	lcl|NC_004354.4_cds_NP_572803.1_2940	locus_tag=Dmel_CG2560 	db_xref=FLYBASE:FBpp0073483,GeneID:32198 
32	OG0002287	Cpr11B 	5.246479218818884	1.3026076586655115	0.4179467265111455	0.2044444444444444	0.0044444444444444	['Drosophila_persimilis']	lcl|NC_004354.4_cds_NP_572807.1_2948	lcl|NW_020825312.1_cds_XP_026845253.1_13382	lcl|NC_046683.1_cds_XP_001355374.2_21604	lcl|NC_045954.1_cds_XP_002042828.1_21804	lcl|NC_052525.2_cds_XP_002076972.1_23972	lcl|NC_048530.1_cds_XP_034670983.1_3660	lcl|NC_004354.4_cds_NP_572807.1_2948	locus_tag=Dmel_CG2555 	db_xref=FLYBASE:FBpp0073486,GeneID:32203 
33	OG0002354	CG15754 	5.025190349475507	0.963382021539387	0.3768920685051811	0.2121212121212121	0.0	[]	lcl|NC_004354.4_cds_NP_572894.1_3178	lcl|NW_020825322.1_cds_XP_002023371.1_14061	lcl|NC_046683.1_cds_XP_001354731.3_19411	lcl|NC_045954.1_cds_XP_002042690.1_21983	lcl|NC_052525.2_cds_XP_002106867.1_24156	lcl|NC_048530.1_cds_XP_034657822.1_1527	lcl|NC_004354.4_cds_NP_572894.1_3178	locus_tag=Dmel_CG15754 	db_xref=FLYBASE:FBpp0073613,GeneID:32307 
34	OG0002355	CG15756 	4.507122143076263	1.1760333498692548	0.4503527208953263	0.1386430678466076	0.0029498525073746	['Node6']	lcl|NC_004354.4_cds_NP_572895.1_3180	lcl|NW_020825322.1_cds_XP_002023370.1_14062	lcl|NC_046683.1_cds_XP_001354730.3_19412	lcl|NC_045954.1_cds_XP_002042691.1_21985	lcl|NC_052525.2_cds_XP_016039199.3_24158	lcl|NC_048530.1_cds_XP_034658289.1_1528	lcl|NC_004354.4_cds_NP_572895.1_3180	locus_tag=Dmel_CG15756 	db_xref=FLYBASE:FBpp0073614,GeneID:32308 
35	OG0002356	Cpr12A 	5.496503203226971	1.5178385814957098	0.443269435782915	0.1743589743589743	0.0051282051282051	['Drosophila_subobscura']	lcl|NC_004354.4_cds_NP_572896.1_3181	lcl|NW_020825322.1_cds_XP_002023368.1_14063	lcl|NC_046683.1_cds_XP_001354729.4_19413	lcl|NC_045954.1_cds_XP_002042692.1_21986	lcl|NC_052525.2_cds_XP_002106869.1_24159	lcl|NC_048530.1_cds_XP_034653461.1_1529	lcl|NC_004354.4_cds_NP_572896.1_3181	locus_tag=Dmel_CG15757 	db_xref=FLYBASE:FBpp0073615,GeneID:32309 
36	OG0002357	CG11816 	3.410832569387337	1.2742046240048133	0.55358717009305	0.0520833333333333	0.0026041666666666	['Node6', 'Drosophila_pseudoobscura']	lcl|NC_004354.4_cds_NP_001259515.1_3182	lcl|NW_020825322.1_cds_XP_002023365.1_14066	lcl|NC_046683.1_cds_XP_001354728.4_19417	lcl|NC_045954.1_cds_XP_002042693.2_21987	lcl|NC_052525.2_cds_XP_039153238.1_24160	lcl|NC_048530.1_cds_XP_034660588.1_1530	lcl|NC_004354.4_cds_NP_001259515.1_3182	locus_tag=Dmel_CG11816 	db_xref=FLYBASE:FBpp0304577,GeneID:32310 
37	OG0002402	CG11590 	4.264098051767732	1.2199030422085366	0.5352206065241238	0.0788177339901477	0.0098522167487684	[]	lcl|NC_004354.4_cds_NP_572945.1_3355	lcl|NW_020825324.1_cds_XP_002022542.2_14541	lcl|NC_046683.1_cds_XP_002134235.3_18750	lcl|NC_045954.1_cds_XP_002042770.1_22116	lcl|NC_052525.2_cds_XP_016039281.1_24315	lcl|NC_048530.1_cds_XP_034661637.1_707	lcl|NC_004354.4_cds_NP_572945.1_3355	locus_tag=Dmel_CG11590 	db_xref=FLYBASE:FBpp0073716,GeneID:32368 
38	OG0002462	CG9095 	6.2499868944151045	0.7231223789186211	0.1562553498067445	0.3929794520547945	0.0	['Node6', 'Drosophila_persimilis']	lcl|NC_004354.4_cds_NP_001096984.1_3533	lcl|NW_020825350.1_cds_XP_026848422.1_17381	lcl|NC_046683.1_cds_XP_002133456.2_20321	lcl|NC_045954.1_cds_XP_032581399.1_22267	lcl|NC_052525.2_cds_XP_016039366.1_24471	lcl|NC_048530.1_cds_XP_034672132.1_3597	lcl|NC_004354.4_cds_NP_001096984.1_3533	locus_tag=Dmel_CG9095 	db_xref=FLYBASE:FBpp0111897,GeneID:32447 
39	OG0002527	CG8916 	4.727144433492867	0.7797243123432123	0.2528549683625001	0.4370967741935483	0.0	[]	lcl|NC_004354.4_cds_NP_573090.3_3813	lcl|NW_020825313.1_cds_XP_026845798.1_13468	lcl|NC_046683.1_cds_XP_033239991.1_20697	lcl|NC_045954.1_cds_XP_002044219.2_22467	lcl|NC_052525.2_cds_XP_016039532.1_24689	lcl|NC_048530.1_cds_XP_034650653.1_1184	lcl|NC_004354.4_cds_NP_573090.3_3813	locus_tag=Dmel_CG8916 	db_xref=FLYBASE:FBpp0290450,GeneID:32553 
40	OG0002528	Lcch3 	6.114165299625464	0.6946401908337791	0.1703721400017536	0.5275590551181102	0.0	[]	lcl|NC_004354.4_cds_NP_996469.1_3815	lcl|NW_020825313.1_cds_XP_026845782.1_13456	lcl|NC_046683.1_cds_XP_033239056.1_20725	lcl|NC_045954.1_cds_XP_032580911.1_22468	lcl|NC_052525.2_cds_XP_002077031.1_24690	lcl|NC_048530.1_cds_XP_034669040.1_1203	lcl|NC_004354.4_cds_NP_996469.1_3815	locus_tag=Dmel_CG17336 	db_xref=FLYBASE:FBpp0089263,GeneID:32554 
41	OG0002614	TwdlX 	4.941457414683817	1.1618214649786422	0.3835656395577152	0.187012987012987	0.0051948051948051	['Node6', 'Drosophila_subobscura']	lcl|NC_004354.4_cds_NP_728016.1_4162	lcl|NW_020825359.1_cds_XP_026849168.1_18517	lcl|NC_046683.1_cds_XP_001355595.2_17418	lcl|NC_045954.1_cds_XP_002042294.1_22713	lcl|NC_052525.2_cds_XP_002107151.1_24961	lcl|NC_048530.1_cds_XP_034671340.1_2086	lcl|NC_004354.4_cds_NP_728016.1_4162	locus_tag=Dmel_CG32571 	db_xref=FLYBASE:FBpp0074099,GeneID:318094 
42	OG0002615	TwdlY 	5.086694126188531	1.5119745924976635	0.426529457448132	0.1353591160220994	0.005524861878453	['Node6']	lcl|NC_004354.4_cds_NP_728017.1_4163	lcl|NW_020825359.1_cds_XP_026849167.1_18518	lcl|NC_046683.1_cds_XP_033241078.1_17419	lcl|NC_045954.1_cds_XP_002042295.1_22714	lcl|NC_052525.2_cds_XP_039153464.1_24962	lcl|NC_048530.1_cds_XP_034671347.1_2085	lcl|NC_004354.4_cds_NP_728017.1_4163	locus_tag=Dmel_CG32570 	db_xref=FLYBASE:FBpp0074100,GeneID:318093 
43	OG0002616	TwdlZ 	4.190058452459265	1.1754824903576	0.4891253299960304	0.1680327868852459	0.0040983606557377	['Drosophila_pseudoobscura']	lcl|NC_004354.4_cds_NP_728018.2_4164	lcl|NW_020825359.1_cds_XP_002025094.1_18519	lcl|NC_046683.1_cds_XP_002133723.2_17420	lcl|NC_045954.1_cds_XP_002044990.1_22715	lcl|NC_052525.2_cds_XP_016039705.1_24963	lcl|NC_048530.1_cds_XP_034671348.1_2084	lcl|NC_004354.4_cds_NP_728018.2_4164	locus_tag=Dmel_CG32569 	db_xref=FLYBASE:FBpp0288687,GeneID:318092 
44	OG0002617	Twdlalpha 	4.014233969332882	1.1595579292916909	0.4605843713520072	0.1349397590361445	0.0024096385542168	['Node6', 'Drosophila_simulans']	lcl|NC_004354.4_cds_NP_728020.1_4167	lcl|NW_020825359.1_cds_XP_026849166.1_18520	lcl|NC_046683.1_cds_XP_033241077.1_17421	lcl|NC_045954.1_cds_XP_002044992.2_22718	lcl|NC_052525.2_cds_XP_039153463.1_24965	lcl|NC_048530.1_cds_XP_034671352.1_2083	lcl|NC_004354.4_cds_NP_728020.1_4167	locus_tag=Dmel_CG32574 	db_xref=FLYBASE:FBpp0074103,GeneID:326223 
